product_name,category,description,brand,is_boycotted
Tiger Excellence Lime Coriander Chips,chips,"potatoes, vegetable oil, lime, coriander, salt, sugar, natural flavors, zesty, citrusy, herby, crispy, crunchy",Egypt Foods,0
Tiger Excellence Smoked Cheese Chips,chips,"potatoes, vegetable oil, cheese powder, smoked flavor, salt, natural flavors, smoky, cheesy, savory, crispy, crunchy",Egypt Foods,0
Pringels Sour Cream and Onion Potato Chips ,chips,"potatoes, wheat starch, corn flour, rice flour, vegetable oil, emulsifier, salt, sour cream, onion powder, natural flavors, creamy, tangy, oniony, crispy",Kellogg's,1
Bonz Premium Snacks with Hot Chili,chips,"potatoes, vegetable oil, chili powder, sugar, salt, natural flavors, spicy, sweet, crunchy, crispy",Food trip,0
Big Chips Kebab Potato Chips,chips,"potatoes, vegetable oil, meat, poultry, beef, chicken, vegetable protein extracts, tuna, minerals, sugars, savory, meaty, crispy, crunchy ",Egypt Foods,0
Break Hot Chili Snacks ,chips,"potatoes, vegetable oil, chili powder, salt, sugar, natural flavors, spicy, savory, crispy, crunchy",Americana,1
Doritos Nacho Cheese Tortilla Chips,chips,"corn, cheddar cheese, romano cheese, buttermilk, whey, onion powder, garlic powder, tomato powder, spices, lactic acid",PepsiCo,1
Chipsy Potato Chips with Chicken ,chips,"potato, chicken, savory, crispy, crunchy",PepsiCo,1
Raw Cheddar Cheese and Shallots Kettle Cooked Potatoes,chips,"potato, cheddar cheese, shallots, sunflower oil, crispy, savory, tangy, oniony", Prisma Foods Egypt,1
Bake Rolz with Butter and Herbs,chips,"whole wheat flour, butter, parsley, oregano, basil, salt, baked, buttery, savory, herby",Edita,1
Jaguar Prime Sweet Corn Crunch,chips,"corn grits, sugar, salt, sweet corn flavor, vegetable oil, puffed, sweet, crispy",Egypt Foods,0
Tiger Potato Chips with Tomato Flavour,chips,"potato, vegetable oil, sugar, salt, tomato powder, capsicum powder",Egypt Foods,0
Jaguar Creations Corn Balls Snacks,chips,"corn, cheese, vegetable oil, salt, savory, cheesy, crispy",Egypt Foods,0
Jaguar Prime Sweet Cheese Crunch,chips,"corn, cheese powder, vegetable oil, sugar, salt, whey, buttermilk, onion powder, garlic powder, lactic acid, cheesy, sweet, crispy",Egypt Foods,0
Spuds Prime Ribs Potato Chips,chips,"potato, vegetable oil, salt, sugar, onion powder, garlic powder, yeast extract, beef flavor, smoke flavor, spices, savory, smoky, meaty, crispy",Food trip,0
Chipsy Wavy Potato Chips with Sizzling Chicken Flavor ,chips,"potato, vegetable oil, salt, sugar, chicken powder, onion powder, garlic powder, chili powder, paprika, citric acid, savory, spicy, smoky",PepsiCo,1
Cheetos Puffs Family,chips,"corn oil, canola oil, sunflower oil, whey, cheddar cheese, milk, cheese cultures, sal , puff",PepsiCo,1
Raw Sour Jalapeno Kettle Cooked Potatoes ,chips,"potato, vegetable oil, jalapeno powder, sour cream powder, onion powder, garlic powder, salt, sugar, spicy, tangy, sour, crispy", Prisma Foods Egypt,1
Tiger Excellence Sweet Chili Chips,chips,"potato, palm olein oil, sweet pepper flavor, wheat, gluten, sweet, spicy, crispy",Egypt Foods,0
Jaguar Creations Tortilla with Thai Sweet Chili,chips,"corn flour, vegetable oil, sweet chili seasoning, chili peppers, garlic, rice vinegar, sugar, salt, natural flavors, sweet, spicy, tangy, crispy, crunchy",Egypt Foods,0
Tiger Potato Chips with kebab Flavour,chips,"potatoes, vegetable oil, kebab seasoning, meat extracts, onion powder, garlic powder, spices, salt, savory, meaty, smoky, crispy, crunchy",Egypt Foods,0
Abu Auf Pretzels - Cheese,chips,"wheat flour, cheese, salt, natural flavors, cheesy, savory, crispy, crunchy",Abu Auf,1
Jaguar Prime Sweet Heat Crunch,chips,"potatoes, vegetable oil, sweet chili seasoning, sugar, chili powder, salt, natural flavors, sweet, spicy, tangy, crispy, crunchy",Egypt Foods,0
Pringles Spicy Bbq,chips,"dried potatoes, vegetable oil, corn flour, cornstarch, rice flour, maltodextrin, sugar, salt, tomato powder",Kellogg's,1
Chipsy Kebab,chips,"potatoes, vegetable oil, kebab seasoning, onion powder, garlic powder, spices, salt, savory, meaty, smoky, crispy, crunchy",PepsiCo,1
Doritos Sweet Chili Tortilla Chips,chips,"corn, vegetable oil, sweet chili seasoning, sugar, chili powder, soy sauce powder, salt, natural flavors, sweet, spicy, tangy, crispy, crunchy",PepsiCo,1
Fox Chips Seasoned Cheese,chips,"potatoes, vegetable oil, cheese powder, salt, natural flavors, savory, cheesy, crispy, crunchy",Egypt Foods,0
Forno French Cheese Potato Chips,chips,"potatoes, vegetable oil, cheese powder, salt, natural flavors, savory, cheesy, creamy, crispy, crunchy",PepsiCo,1
Jaguar Creations Puffs with Peanut Butter ,chips,"corn, peanut butter, sugar, salt, natural flavors, nutty, creamy, sweet, puffed, crunchy",Egypt Foods,0
Crunchy Chili & Lemon Potato Chips,chips,"potatoes, vegetable oil, sugar, salt, red chili powder, garlic powder, onion powder, lime juice powder, spicy, zesty, citrusy, crispy, crunchy",PepsiCo,1
Funday Cheese Popcorn,chips,"popcorn, vegetable oil, cheese powder, salt, natural flavors, cheesy, savory, crispy, crunchy",Funday,0
Jaguar Creations Tortilla with Thai Sweet Chili,chips,"corn, vegetable oil, sweet chili seasoning, chili peppers, garlic, rice vinegar, sugar, salt, natural flavors, sweet, spicy, tangy, crispy, crunchy",Egypt Foods,0
Pringles Texas Barbecue Sauce Chips,chips,"barbecue, tomato, paprika, garlic, onion, smoky, tangy, potato, crispy",Kellogg's,1
Sunbites Tomato & Herbs Bread Bites,chips,"tomato, basil, oregano, wheat, savory, herby, crispy",PepsiCo,1
Pringles Salt and Vinegar Potato Chips,chips,"sea salt, vinegar, potato, tart, tangy, crispy , chips",Kellogg's,1
Bake Stix Wheat Snacks with Barbeque Flavour,chips,"barbecue, wheat, paprika, onion, garlic, smoky, savory, crispy",Edita,1
Lion Zigs Potato Chips with Spices Flavor,chips,"chili, paprika, onion, garlic, potato, spicy, savory, crispy",Americana,1
Doritos Ketchup Jalapeno Tortilla Chips,chips,"ketchup, jalapeño, tomato, onion, garlic, chili, tangy, spicy, corn, crunchy",PepsiCo,1
GALAXY Smooth Milk Chocolate Bar,chocolate,creamy milk chocolate bar cocoa butter base skim milk powder rectangular shape purple foil package,Galaxy,1
GALAXY Smooth Caramel Chocolate Bar ,chocolate,milk chocolate bar caramel fill creamy caramel center golden purple foil package,Galaxy,1
Kinder Chocolate,chocolate,kinder chocolate milk chocolate milky fill smooth texture artificial color,Kinder,1
Kinder Joy,chocolate,kinder joy chocolate surprise toy crispy wafer layer creamy milk fill,Kinder,1
Kinder Bueno,chocolate,kinder bueno crunchy wafer bar hazelnut fill milk chocolate coat,Kinder,1
Ferrero Raffaello Coconut Chocolate,chocolate,coconut almond truffles crispy wafer shell white milk cream almond center resealable g gift box,Ferrero Raffaello,1
Ferrero Rocher Chocolate Box,chocolate,hazelnut chocolates roast hazelnut center milk chocolate coat gold gift sleeve package,Ferrero Rocher,1
Nutella Hazelnut Spread,chocolate,hazelnut cocoa spread smooth texture iconic glass jar g g g,Nutella,1
Quality Street Chocolate Assortment Tin,chocolate,assort chocolate tin milk dark chocolates toffees fruit flavor cream decorative package,Quality Street,1
Galaxy Flutes Twin Fingers Chocolate,chocolate,crispy wafer finger milk chocolate coat vanilla cream fill g g twin roll pack,Galaxy,1
Moro Chocolate Bar,chocolate,caramel nougat chocolate bar whip nougat layer,Cadbury,1
Milka Alpine Milk Chocolate,chocolate,milka alpine milk chocolate craft alpine milk offer rich creamy taste ingredients include sugar cocoa butter skim milk powder whey powder milk fat hazelnut paste emulsifier soy lecithin flavor combination result smooth melt mouth experience,Mondelez International,1
Milka Oreo Chocolate,chocolate,milka alpine milk chocolate alpine milk creamy melt mouth texture,Mondelez International,1
Cadbury Dairy Milk Classic,chocolate,cadbury dairy milk classic rich creamy milk chocolate iconic purple package,Mondelez International,1
Cadbury Dairy Milk Hazelnut,chocolate,cadbury dairy milk hazelnut whole hazelnut crunch textured experience,Mondelez International,1
KitKat Chunky Crunchy ,chocolate,crispy cocoa wafer top chocolate spread wrap smooth milk chocolate,Nestle,1
KitKat  Finger Milk Chocolate Bar,chocolate,classic milk chocolate coat crispy wafer mg caffeine,Nestle,1
Corona Chocolate Coated Wafer,chocolate,crispy wafer coat chocolate,Corona,0
Corona Dark Chocolate,chocolate,smooth dark chocolate milk add,Corona,0
Corona Milk Chocolate,chocolate,creamy milk chocolate bar,Corona,0
Katakito Chocolate with Crispy Wafer,chocolate,milk chocolate crispy wafer layer,Katakit,0
Maxtella Chocolate Hazelnut Spread,chocolate,smooth cocoa spread hazelnut flavor,Maxtella,0
Tiffany Break Wafer Fingers,chocolate,crunchy wafer finger coat creamy milk chocolate,Tiffany,0
Cadbury Chocolate Delight Biscuits,chocolate biscuits,"milk chocolate-coated sponge sandwich, smooth creme filling, sugar, wheat flour, glucose-fructose syrup, egg, rapeseed oil, cocoa butter, skimmed milk powder, cocoa mass, glycerol, shea fat, palm fat, potato starch, whey permeate, fat-reduced cocoa powder, milk fat, whey powder, soy lecithin, diphosphates, sodium carbonates, salt, modified maize starch, xanthan gum, chocolate flavor, creamy, sweet",Cadbury,1
Bimbo Biscuit with Hazelnut,chocolate biscuits,"hazelnut cream-filled vanilla biscuit, crispy texture, wheat flour, sugar, palm oil, whey cow milk powder, ammonium bicarbonate, sodium bicarbonate, glucose syrup, salt, cocoa powder, hydrogenated palm oil, kernel palm oil, soy lecithin, vanilla flavor, hazelnut flavor, chocolatey, creamy, sweet",corona,0
Cadbury Choco Coated Oreo Biscuits,chocolate biscuits,"milk chocolate-coated wafer, crispy texture, sugar, wheat flour, palm oil, cocoa powder, skimmed milk powder, whey powder, corn starch, soy lecithin, salt, sodium bicarbonate, ammonium bicarbonate, ethyl vanillin, chocolate flavor, milky, creamy, suitable for dunking in tea or milk",Oreo,1
Ulker Halley Chocolate Coated Biscuits,chocolate biscuits,"milk chocolate-coated biscuit, crispy texture, wheat flour, palm oil, glucose syrup, sugar, sorbitol, sodium hydrogen carbonate, ammonium hydrogen carbonate, disodium diphosphate, milk powder, salt, emulsifier, egg, hazelnut, cocoa butter, cocoa mass, whole milk powder, skimmed milk powder, chocolate flavor, creamy, sweet",Ülker,1
Corona Bimbo Chocolate Biscuits,chocolate biscuits,"milk chocolate-coated biscuit, crispy texture, creamy chocolate filling, wheat flour, palm oil, glucose syrup, sugar, sorbitol, sodium hydrogen carbonate, ammonium hydrogen carbonate, disodium diphosphate, milk powder, salt, emulsifier, egg, hazelnut, cocoa butter, cocoa mass, whole milk powder, skimmed milk powder, chocolate flavor, sweet",corona,0
Cocoa Lovers Vanilla Cocoa Cream Sandwich Biscuits,chocolate biscuits,"cocoa cream sandwich biscuits, vanilla flavor, creamy cocoa filling, wheat flour, milk, soya, sugar, palm oil, cocoa powder, glucose syrup, soy lecithin",Bisco Misr,1
OG Chocolate Coated Biscuit Filled with Chocolate Cream,chocolate biscuits,"chocolate coated biscuit, chocolate cream, crunchy, wheat flour, sugar, palm oil, cocoa powder, skimmed milk powder, soy lecithin, honey, vanillin, sweet, chocolatey",OG,0
Corona Bimbo Coco Biscuit Coated With Chocolate,chocolate biscuits,"chocolate cream, crispy, wheat flour, sugar, palm oil, cocoa powder, soy lecithin, sodium bicarbonate, sweet, chocolatey",corona,0
Cocoa Lovers Cocoa Cream Sandwich Biscuits,chocolate biscuits,"crispy, wheat flour, sugar, palm oil, cocoa powder, rapeseed lecithin, whey powder, maize starch, sodium bicarbonate, chocolate flavor, vanilla flavor, sweet, chocolatey",Bisco Misr,1
NESCAFE Classic Instant Coffee,coffee,instant coffee mg caffeine per serve g g jar,Nestle,1
NESCAFE 3-in-1 Coffee Mix,coffee,premixed coffee sachets sugar creamer mg caffeine per serve stick pack,Nestle,1
Misr Cafe Instant Coffee,coffee,pure instant coffee medium roast,"Bold, traditional",0
Danone Classic Plain Yogurt,dairy,plain probiotic yogurt live active culture l bulgaricus thermophilus vitamin fortify g g cup,Danone Group,1
Domty Full Cream Milk,dairy,rich creamy milk,Domty,1
Domty Half Cream Milk,dairy,milk reduce fat content,Domty,1
Domty Skimmed Milk,dairy,milk minimal fat content,Domty,1
Dina Full Cream Milk,dairy,pasteurize whole milk creamy texture,Dina Farms,0
Greek Style Yogurt,dairy,thick creamy yogurt make fresh cow milk rich protein calcium,Almarai,0
Lamar 0 percent Fat Milk,dairy,fat milk add powder preservatives available l tetra pack,Lamar,0
Lamar Full Cream Milk,dairy,pure cow milk add powder preservatives available ml ml l tetra pack,Lamar,0
Axe Apollo Anti-Perspirant Roll-On,deodorant,hour anti perspirant roll aluminum chlorohydrate citrus woody scent non sticky formula ml blue bottle men,Unilever,1
Rexona Women Cotton Dry Roll-On,deodorant,hour antiperspirant roll women aluminum zirconium tetrachlorohydrex gly light floral fragrance non stain ml pink bottle,Unilever,1
Eva Skin Care Natural Glow Lightening Roll-On,deodorant,hour protection alcohol free paraben free enrich cucumber wild berry aloe vera brighten antiperspirant women,"Aluminum-free, alcohol-free, paraben-free",0
Vebix Blue Active Men Deodorant Roll-On,deodorant,hour sweat odor protection dermatologically test citrus woody fragrance antiperspirant ml blue bottle men,Aluminum chlorohydrate,0
Pril Lemon Dishwashing Liquid,dishwashing,lemon dishwashing liquid biodegradable formula aloe vera extract ml l bottle,Henkel,1
Dettol Antibacterial Dishwashing Liquid,dishwashing,antibacterial dish soap germ kill lemon fragrance green bottle,Reckitt Benckiser,1
Feba Dishwashing Liquid,dishwashing,dish wash lemon scent fresh aroma,Feba,0
Sting Energy Drink,energy Drink,tropical energy drink caffeine taurine b vitamins ml ml can,PepsiCo,1
Volt Blue Energy,energy Drink,blueberry flavor variant mg caffeine mg taurine guarana extract offer mild sweetness reminiscent blueberry soda,AJE Group,0
Dolce Chocolate,ice cream,chocolate ice cream cocoa flake ml tubs con,D F Food Products,1
Twix Classic,ice cream,caramel cookie ice cream bar twix inspire single bar,Mars,1
Friday Ice Cream Chocolate,ice cream,chocolate classic ice cream bar,"Chocolate, Vanilla, Others",0
Cold Stone Chocolate,ice cream,"Chocolate ice cream with a caramel twist, dipped in chocolate with almond slices",Cold Stone Creamery,0
Cold Stone Caramelized Biscuit,ice cream,Caramelized biscuit ice cream with biscuit pieces dipped in chocolate with more biscuit pieces,Cold Stone Creamery,0
Cold Stone Cookies and Cream,ice cream,Sweet cream ice cream with cookies pieces dipped in chocolate with more cookies pieces,Cold Stone Creamery,0
Cold Stone Vanilla,ice cream,Vanilla ice cream with a caramel swirl dipped in chocolate with almond slices,Cold Stone Creamery,0
Cold Stone Cookies and Cream Sandwich,ice cream,Double chocolate sensation of chocolate ice cream with chocolate sauce,Cold Stone Creamery,0
Friday Watermelon,ice cream,Watermelon ice cream,Friday,0
Friday Freitag,ice cream,Chocolate hazelnut icecream,Friday,0
Combo Extra,ice cream,Pistachio chocolate kunafa ice cream,Friday,0
Red Velvet Wich,ice cream,Red velvet ice cream sandwich,Friday,0
Combo,ice cream,Caramel Chocolate Ice Cream,Friday,0
Oreo Stick,ice cream,Oreo ice cream stick,Oreo,1
Oreo Sandwich,ice cream,Oreo ice cream sandwich,Oreo,1
Wonderville Purple Cookies,ice cream,Purple Cookies ice cream,Wonderville,0
Wonderville Yoghurt Raspberry Ice Cream,ice cream,Yoghurt raspberry ice cream,Wonderville,0
Wonderville Cotton Candy,ice cream,Cotton Candy ice cream,Wonderville,0
Wonderville Bubble Gum,ice cream,Bubble gum ice cream,Wonderville,0
Wonderville Chocolate,ice cream,Chocolate ice cream,Wonderville,0
Rani Pineapple Juice,juice,can pineapple juice low sugar apple puree blend l can,Rani,1
Tang Orange Powder,juice,citrus powder drink vitamin c fortify artificial color yellow g sugar per serve,Tang,1
Tang Mango Powder,juice,mango flavor drink mix add calcium vitamin c g resealable pack,Tang,1
Tropicana Pure Premium Orange,juice,concentrate orange juice vitamin calcium add sugar l chill cartons,Tropicana,1
